NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"900,357,414",FUNDACION AVANZAR FOS,SUPERSALUD,Otros,ARAUCA,ARAUCA-ARAUCA,8621,SERVICIOS,0.06,0.0,0.04,0.04,0.0,"2,024","Actividades de la práctica médica, sin internación"
"899,999,068",ECOPETROL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,113.92,14.93,214.24,130.54,83.7,"2,024",Extracción de petróleo crudo
"900,112,515",REFINERIA DE CARTAGENA SAS,SUPERSERVICIOS,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,1921,MANUFACTURA,25.86,-0.26,39.5,11.93,27.58,"2,024",Fabricación de productos de hornos de coque
"830,095,213",ORGANIZACIÓN TERPEL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,24.75,0.53,7.97,4.62,3.35,"2,024","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"890,904,996",EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3513,SERVICIOS,20.57,4.83,66.92,34.46,32.46,"2,024",Distribución de energía eléctrica
"900,276,962",D1 SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,19.44,0.37,6.32,6.1,0.22,"2,024","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"890,900,608",ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4711,COMERCIO,16.08,0.05,13.9,7.22,6.69,"2,024","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"860,063,875",EMGESA SA ESP,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3514,SERVICIOS,15.78,2.25,28.67,14.46,14.2,"2,024",Comercialización de energía eléctrica
"800,153,993",COMUNICACIÓN CELULAR SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6120,SERVICIOS,15.6,0.69,26.88,16.95,9.93,"2,024",Actividades de telecomunicaciones inalámbricas
"890,100,577",AVIANCA,SUPERTRANSPORTE,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,5111,SERVICIOS,15.11,1.1,22.95,23.2,-0.25,"2,024",Transporte aéreo nacional de pasajeros
"900,480,569",JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,13.83,-0.6,8.2,8.16,0.05,"2,024","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"900,818,921",KOPPS COMMERCIAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,11.94,1.06,6.25,4.78,1.47,"2,024",Comercio al por mayor de bebidas y tabaco
"890,900,943",COLOMBIANA DE COMERCIO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,11.89,0.49,5.55,2.88,2.67,"2,024","Comercio al por menor de computadores, equipo periférico, programas de informática y equipo de telecomunicaciones en establecimientos especializados"
"800,021,308",DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0510,MINERO,11.5,0.96,11.7,3.98,7.71,"2,024",Extracción de hulla (carbón de piedra)
"860,002,554",PRIMAX COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,10.52,0.16,2.04,1.49,0.55,"2,024","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
